Test Case/HU;TC01: loginTest;TC02: spiderLoggedTest;TC03: spiderUnLoggedTest;TC04: studentCourseMainTest;TC05: teacherCourseMainTest;TC06: teacherCreateAndDeleteCourseTest;TC07: teacherEditCourseValues;TC08:teacherDeleteCourseTest;TC09: forumLoadEntriesTest;TC10: forumNewEntryTest;TC11: forumNewCommentTest;TC12: forumNewReply2CommentTest;TC13: courseRestOperations;TC14: courseInfoRestOperations;TC15: sessionRestOperations;TC16: forumRestOperations;TC17: filesRestOperations;TC18: attendersRestOperations;TC19: sessionTest;TC20: oneToOneVideoAudioSessionChrome;TC21: oneToOneChatInSessionChrome
TC11: forumNewCommentTest;0.9230769230769231;0.9743589743589743;0.8974358974358975;0.9487179487179487;0.9487179487179487;0.9230769230769231;0.8717948717948718;0.9487179487179487;0.9743589743589743;1.0;1.0;1.0;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.9230769230769231;0.8974358974358975;0.8974358974358975;0.8717948717948718;0.5897435897435898;0.7948717948717949
TC12: forumNewReply2CommentTest;0.9230769230769231;0.9743589743589743;0.8974358974358975;0.9487179487179487;0.9487179487179487;0.9230769230769231;0.8717948717948718;0.9487179487179487;0.9743589743589743;1.0;1.0;1.0;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.9230769230769231;0.8974358974358975;0.8974358974358975;0.8717948717948718;0.5897435897435898;0.7948717948717949
TC13: courseRestOperations;0.8974358974358975;0.9487179487179487;0.8717948717948718;0.9230769230769231;0.9230769230769231;1.0;0.9487179487179487;0.9743589743589743;0.9487179487179487;0.9230769230769231;0.9230769230769231;0.9230769230769231;1.0;0.9743589743589743;0.8974358974358975;0.8974358974358975;0.9230769230769231;0.9230769230769231;0.8461538461538461;0.5641025641025641;0.7692307692307692
TC14: courseInfoRestOperations;0.8717948717948718;0.9230769230769231;0.8461538461538461;0.8974358974358975;0.8974358974358975;0.9743589743589743;0.9743589743589743;0.9487179487179487;0.9230769230769231;0.8974358974358975;0.8974358974358975;0.8974358974358975;0.9743589743589743;1.0;0.8717948717948718;0.8717948717948718;0.8974358974358975;0.8974358974358975;0.8205128205128205;0.5384615384615384;0.7435897435897436
TC15: sessionRestOperations;0.8461538461538461;0.8974358974358975;0.8205128205128205;0.8717948717948718;0.8717948717948718;0.8974358974358975;0.8461538461538461;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.8717948717948718;0.8717948717948718;0.8974358974358975;0.8717948717948718;1.0;0.8461538461538461;0.8717948717948718;0.8717948717948718;0.7948717948717949;0.6666666666666667;0.717948717948718
TC16: forumRestOperations;0.8461538461538461;0.8974358974358975;0.8205128205128205;0.8717948717948718;0.8717948717948718;0.8974358974358975;0.8974358974358975;0.9230769230769231;0.8974358974358975;0.9230769230769231;0.9230769230769231;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.8461538461538461;1.0;0.8717948717948718;0.8717948717948718;0.7948717948717949;0.5128205128205128;0.717948717948718
TC17: filesRestOperations;0.8717948717948718;0.9230769230769231;0.8461538461538461;0.8974358974358975;0.8974358974358975;0.9230769230769231;0.8717948717948718;0.9487179487179487;0.9230769230769231;0.8974358974358975;0.8974358974358975;0.8974358974358975;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.8717948717948718;1.0;0.8974358974358975;0.8205128205128205;0.5384615384615384;0.7435897435897436
TC18: attendersRestOperations;0.8717948717948718;0.9230769230769231;0.8461538461538461;0.8974358974358975;0.8974358974358975;0.9230769230769231;0.8717948717948718;0.9487179487179487;0.9230769230769231;0.8974358974358975;0.8974358974358975;0.8974358974358975;0.9230769230769231;0.8974358974358975;0.8717948717948718;0.8717948717948718;0.8974358974358975;1.0;0.8205128205128205;0.5384615384615384;0.7435897435897436
TC19: sessionTest;0.8461538461538461;0.8974358974358975;0.8205128205128205;0.8717948717948718;0.8717948717948718;0.8461538461538461;0.7948717948717949;0.8717948717948718;0.8974358974358975;0.8717948717948718;0.8717948717948718;0.8717948717948718;0.8461538461538461;0.8205128205128205;0.7948717948717949;0.7948717948717949;0.8205128205128205;0.8205128205128205;1.0;0.717948717948718;0.9230769230769231
TC20: oneToOneVideoAudioSessionChrome;0.5641025641025641;0.6153846153846154;0.5384615384615384;0.5897435897435898;0.5897435897435898;0.5641025641025641;0.5128205128205128;0.5897435897435898;0.6153846153846154;0.5897435897435898;0.5897435897435898;0.5897435897435898;0.5641025641025641;0.5384615384615384;0.6666666666666667;0.5128205128205128;0.5384615384615384;0.5384615384615384;0.717948717948718;1.0;0.6923076923076923
